series_id,year,period,value,state_name
LASST050000000000003          ,2025,M03,4.741339133245987,Arkansas
LASST050000000000003          ,2025,M04,4.728583500710641,Arkansas
LASST050000000000003          ,2025,M05,4.733241073231561,Arkansas
LASST050000000000003          ,2025,M06,4.720296436068297,Arkansas
LASST050000000000003          ,2025,M07,4.727997122708518,Arkansas
LASST050000000000003          ,2025,M08,4.772329006939639,Arkansas
LASST050000000000003          ,2025,M09,4.7334224980324375,Arkansas
LASST050000000000003          ,2025,M10,4.764626273557492,Arkansas
LASST050000000000003          ,2025,M11,4.736359445444384,Arkansas
LASST050000000000003          ,2025,M12,4.7255225778252905,Arkansas
LASST050000000000003          ,2026,M01,4.736400578051304,Arkansas
LASST050000000000003          ,2026,M02,4.726422435236808,Arkansas
