series_id,year,period,value,state_name
LASST240000000000003          ,2025,M03,3.720861926424499,Maryland
LASST240000000000003          ,2025,M04,3.6547757870944872,Maryland
LASST240000000000003          ,2025,M05,3.777664200600435,Maryland
LASST240000000000003          ,2025,M06,3.6292863586370587,Maryland
LASST240000000000003          ,2025,M07,3.671100197217582,Maryland
LASST240000000000003          ,2025,M08,3.642831476754343,Maryland
LASST240000000000003          ,2025,M09,3.67409665591135,Maryland
LASST240000000000003          ,2025,M10,3.651825210619097,Maryland
LASST240000000000003          ,2025,M11,3.6226644837212625,Maryland
LASST240000000000003          ,2025,M12,3.731358786310413,Maryland
LASST240000000000003          ,2026,M01,3.82764075309351,Maryland
LASST240000000000003          ,2026,M02,3.7213730191781282,Maryland
