series_id,year,period,value,state_name
LASST250000000000003          ,2025,M03,5.24718940108131,Massachusetts
LASST250000000000003          ,2025,M04,5.28080582093053,Massachusetts
LASST250000000000003          ,2025,M05,5.254632737397684,Massachusetts
LASST250000000000003          ,2025,M06,5.270722120744116,Massachusetts
LASST250000000000003          ,2025,M07,5.250611224276848,Massachusetts
LASST250000000000003          ,2025,M08,5.290940690369739,Massachusetts
LASST250000000000003          ,2025,M09,5.291962427009257,Massachusetts
LASST250000000000003          ,2025,M10,5.292237428349076,Massachusetts
LASST250000000000003          ,2025,M11,5.260764548310184,Massachusetts
LASST250000000000003          ,2025,M12,5.285611847108294,Massachusetts
LASST250000000000003          ,2026,M01,5.272481306773381,Massachusetts
LASST250000000000003          ,2026,M02,5.263841331866462,Massachusetts
