series_id,year,period,value,state_name
LASST370000000000003          ,2025,M03,4.7832039338861065,NorthCarolina
LASST370000000000003          ,2025,M04,4.746363192332359,NorthCarolina
LASST370000000000003          ,2025,M05,4.843592971483102,NorthCarolina
LASST370000000000003          ,2025,M06,4.800639291588752,NorthCarolina
LASST370000000000003          ,2025,M07,4.8123269870816205,NorthCarolina
LASST370000000000003          ,2025,M08,4.794777447394977,NorthCarolina
LASST370000000000003          ,2025,M09,4.765696974612616,NorthCarolina
LASST370000000000003          ,2025,M10,4.801151236276397,NorthCarolina
LASST370000000000003          ,2025,M11,4.8135324567780415,NorthCarolina
LASST370000000000003          ,2025,M12,4.836393944269132,NorthCarolina
LASST370000000000003          ,2026,M01,4.8108860253260595,NorthCarolina
LASST370000000000003          ,2026,M02,4.768521786527181,NorthCarolina
