series_id,year,period,value,state_name
LASST420000000000003          ,2025,M03,4.067564336176394,Pennsylvania
LASST420000000000003          ,2025,M04,4.074753094598974,Pennsylvania
LASST420000000000003          ,2025,M05,4.067692283030171,Pennsylvania
LASST420000000000003          ,2025,M06,4.0099962575372325,Pennsylvania
LASST420000000000003          ,2025,M07,4.066677778876591,Pennsylvania
LASST420000000000003          ,2025,M08,4.083966952970708,Pennsylvania
LASST420000000000003          ,2025,M09,4.067549998229505,Pennsylvania
LASST420000000000003          ,2025,M10,4.077569292110608,Pennsylvania
LASST420000000000003          ,2025,M11,4.059965541834619,Pennsylvania
LASST420000000000003          ,2025,M12,4.06523569485934,Pennsylvania
LASST420000000000003          ,2026,M01,4.073732622762302,Pennsylvania
LASST420000000000003          ,2026,M02,4.089070201769733,Pennsylvania
