series_id,year,period,value,state_name
LASST560000000000003          ,2025,M03,3.7057272686206426,Wyoming
LASST560000000000003          ,2025,M04,3.6952777901270566,Wyoming
LASST560000000000003          ,2025,M05,3.687109316684886,Wyoming
LASST560000000000003          ,2025,M06,3.755820322223652,Wyoming
LASST560000000000003          ,2025,M07,3.7015192192700743,Wyoming
LASST560000000000003          ,2025,M08,3.7537753150729585,Wyoming
LASST560000000000003          ,2025,M09,3.724948372418042,Wyoming
LASST560000000000003          ,2025,M10,3.72906956971259,Wyoming
LASST560000000000003          ,2025,M11,3.721958436086127,Wyoming
LASST560000000000003          ,2025,M12,3.688663891614669,Wyoming
LASST560000000000003          ,2026,M01,3.7388398271322227,Wyoming
LASST560000000000003          ,2026,M02,3.7063917135260573,Wyoming
